"GEO_ID","NAME","POPGROUP","POPGROUP_LABEL","B08303_001E","B08303_001M","B08303_001MA","B08303_001EA","B08303_002E","B08303_002M","B08303_002MA","B08303_002EA","B08303_003E","B08303_003M","B08303_003MA","B08303_003EA","B08303_004E","B08303_004M","B08303_004MA","B08303_004EA","B08303_005E","B08303_005M","B08303_005MA","B08303_005EA","B08303_006E","B08303_006EA","B08303_006M","B08303_006MA","B08303_007E","B08303_007M","B08303_007MA","B08303_007EA","B08303_008E","B08303_008M","B08303_008MA","B08303_008EA","B08303_009E","B08303_009M","B08303_009MA","B08303_009EA","B08303_010E","B08303_010M","B08303_010MA","B08303_010EA","B08303_011E","B08303_011M","B08303_011MA","B08303_011EA","B08303_012E","B08303_012M","B08303_012MA","B08303_012EA","B08303_013E","B08303_013M","B08303_013MA","B08303_013EA",
"Geography","Geographic Area Name","Race/Ethnic Group","Population Groups","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Less than 5 minutes","Margin of Error!!Total:!!Less than 5 minutes","Annotation of Margin of Error!!Total:!!Less than 5 minutes","Annotation of Estimate!!Total:!!Less than 5 minutes","Estimate!!Total:!!5 to 9 minutes","Margin of Error!!Total:!!5 to 9 minutes","Annotation of Margin of Error!!Total:!!5 to 9 minutes","Annotation of Estimate!!Total:!!5 to 9 minutes","Estimate!!Total:!!10 to 14 minutes","Margin of Error!!Total:!!10 to 14 minutes","Annotation of Margin of Error!!Total:!!10 to 14 minutes","Annotation of Estimate!!Total:!!10 to 14 minutes","Estimate!!Total:!!15 to 19 minutes","Margin of Error!!Total:!!15 to 19 minutes","Annotation of Margin of Error!!Total:!!15 to 19 minutes","Annotation of Estimate!!Total:!!15 to 19 minutes","Estimate!!Total:!!20 to 24 minutes","Annotation of Estimate!!Total:!!20 to 24 minutes","Margin of Error!!Total:!!20 to 24 minutes","Annotation of Margin of Error!!Total:!!20 to 24 minutes","Estimate!!Total:!!25 to 29 minutes","Margin of Error!!Total:!!25 to 29 minutes","Annotation of Margin of Error!!Total:!!25 to 29 minutes","Annotation of Estimate!!Total:!!25 to 29 minutes","Estimate!!Total:!!30 to 34 minutes","Margin of Error!!Total:!!30 to 34 minutes","Annotation of Margin of Error!!Total:!!30 to 34 minutes","Annotation of Estimate!!Total:!!30 to 34 minutes","Estimate!!Total:!!35 to 39 minutes","Margin of Error!!Total:!!35 to 39 minutes","Annotation of Margin of Error!!Total:!!35 to 39 minutes","Annotation of Estimate!!Total:!!35 to 39 minutes","Estimate!!Total:!!40 to 44 minutes","Margin of Error!!Total:!!40 to 44 minutes","Annotation of Margin of Error!!Total:!!40 to 44 minutes","Annotation of Estimate!!Total:!!40 to 44 minutes","Estimate!!Total:!!45 to 59 minutes","Margin of Error!!Total:!!45 to 59 minutes","Annotation of Margin of Error!!Total:!!45 to 59 minutes","Annotation of Estimate!!Total:!!45 to 59 minutes","Estimate!!Total:!!60 to 89 minutes","Margin of Error!!Total:!!60 to 89 minutes","Annotation of Margin of Error!!Total:!!60 to 89 minutes","Annotation of Estimate!!Total:!!60 to 89 minutes","Estimate!!Total:!!90 or more minutes","Margin of Error!!Total:!!90 or more minutes","Annotation of Margin of Error!!Total:!!90 or more minutes","Annotation of Estimate!!Total:!!90 or more minutes",
"0500000US51197","Wythe County, Virginia","001","Total population","11969","482","null","null","586","167","null","null","1677","323","null","null","1364","296","null","null","1994","391","null","null","1515","null","253","null","1251","319","null","null","1104","217","null","null","520","190","null","null","290","113","null","null","922","283","null","null","528","213","null","null","218","129","null","null",
"0500000US51199","York County, Virginia","001","Total population","31568","904","null","null","897","368","null","null","2125","466","null","null","4491","573","null","null","6530","660","null","null","5042","null","562","null","2513","426","null","null","4226","449","null","null","794","207","null","null","1245","313","null","null","2231","344","null","null","1096","280","null","null","378","156","null","null",
"0500000US51510","Alexandria city, Virginia","001","Total population","82013","1393","null","null","612","169","null","null","3490","458","null","null","6043","596","null","null","10697","751","null","null","11781","null","793","null","6559","729","null","null","14061","909","null","null","4535","588","null","null","5208","673","null","null","11170","718","null","null","6184","551","null","null","1673","416","null","null",
"0500000US51520","Bristol city, Virginia","001","Total population","7098","508","null","null","486","170","null","null","1157","221","null","null","1459","356","null","null","1235","287","null","null","1130","null","312","null","462","210","null","null","321","146","null","null","184","98","null","null","253","138","null","null","233","141","null","null","77","60","null","null","101","81","null","null",
"0500000US51540","Charlottesville city, Virginia","001","Total population","21182","859","null","null","390","157","null","null","3430","390","null","null","6088","549","null","null","4859","540","null","null","2455","null","345","null","1086","308","null","null","1024","248","null","null","178","97","null","null","465","211","null","null","551","197","null","null","384","127","null","null","272","128","null","null",
"0500000US51550","Chesapeake city, Virginia","001","Total population","111766","1824","null","null","1725","328","null","null","7501","825","null","null","12880","995","null","null","17587","1114","null","null","18052","null","1083","null","8857","867","null","null","19687","1060","null","null","4269","438","null","null","5521","658","null","null","10377","804","null","null","3641","559","null","null","1669","364","null","null",
"0500000US51570","Colonial Heights city, Virginia","001","Total population","7945","327","null","null","295","145","null","null","858","200","null","null","920","194","null","null","1340","239","null","null","1126","null","219","null","567","122","null","null","1134","258","null","null","351","123","null","null","258","101","null","null","736","199","null","null","129","60","null","null","231","89","null","null",
"0500000US51590","Danville city, Virginia","001","Total population","15528","658","null","null","676","221","null","null","2368","428","null","null","4113","462","null","null","3417","416","null","null","1896","null","417","null","378","117","null","null","990","243","null","null","131","50","null","null","209","91","null","null","487","137","null","null","630","166","null","null","233","93","null","null",
"0500000US51600","Fairfax city, Virginia","001","Total population","10885","483","null","null","162","86","null","null","668","188","null","null","1174","237","null","null","1253","269","null","null","1218","null","235","null","709","218","null","null","2154","357","null","null","437","154","null","null","706","161","null","null","1387","231","null","null","824","184","null","null","193","108","null","null",
"0500000US51610","Falls Church city, Virginia","001","Total population","6570","402","null","null","62","50","null","null","557","171","null","null","503","148","null","null","1020","255","null","null","1077","null","219","null","507","156","null","null","734","155","null","null","274","112","null","null","364","133","null","null","1099","241","null","null","276","116","null","null","97","70","null","null",
"0500000US51620","Franklin city, Virginia","001","Total population","3258","295","null","null","136","106","null","null","783","232","null","null","519","194","null","null","255","132","null","null","261","null","119","null","83","41","null","null","336","166","null","null","122","98","null","null","26","34","null","null","242","152","null","null","398","202","null","null","97","121","null","null",
"0500000US51630","Fredericksburg city, Virginia","001","Total population","13820","708","null","null","268","117","null","null","1986","370","null","null","3010","445","null","null","1684","407","null","null","1267","null","294","null","644","200","null","null","708","204","null","null","331","134","null","null","224","83","null","null","1486","390","null","null","1070","276","null","null","1142","305","null","null",
