OBJECTID,GEOID,NAME,B17001_001E,B17001_002E,B17001_003E,B17001_004E,B17001_005E,B17001_006E,B17001_007E,B17001_008E,B17001_009E,B17001_010E,B17001_011E,B17001_012E,B17001_013E,B17001_014E,B17001_015E,B17001_016E,B17001_017E,B17001_018E,B17001_019E,B17001_020E,B17001_021E,B17001_022E,B17001_023E,B17001_024E,B17001_025E,B17001_026E,B17001_027E,B17001_028E,B17001_029E,B17001_030E,B17001_031E,B17001_032E,B17001_033E,B17001_034E,B17001_035E,B17001_036E,B17001_037E,B17001_038E,B17001_039E,B17001_040E,B17001_041E,B17001_042E,B17001_043E,B17001_044E,B17001_045E,B17001_046E,B17001_047E,B17001_048E,B17001_049E,B17001_050E,B17001_051E,B17001_052E,B17001_053E,B17001_054E,B17001_055E,B17001_056E,B17001_057E,B17001_058E,B17001_059E,ACS_VINTAGE,TRACT_LABEL,JURISDICTION,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES
105,53033010001,"Census Tract 100.01, King County, Washington",3781,660,278,0,0,91,0,16,0,0,0,17,32,47,39,36,382,0,0,14,26,27,0,0,48,81,29,31,59,67,3121,1618,223,37,53,70,20,0,77,226,421,167,270,0,54,1503,73,0,219,18,0,0,103,279,223,159,249,53,127,5Y10,100.01,Seattle,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park"
106,53033010002,"Census Tract 100.02, King County, Washington",4238,257,95,0,0,12,0,0,0,0,12,45,0,26,0,0,162,46,0,0,0,0,0,41,0,26,24,0,15,10,3981,2192,197,52,46,0,0,35,204,743,335,341,117,48,74,1789,47,0,51,25,23,48,168,524,217,222,197,162,105,5Y10,100.02,Seattle,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park"
107,53033010100,"Census Tract 101, King County, Washington",5756,472,209,18,0,0,17,0,0,13,70,20,25,13,17,16,263,0,0,19,0,0,0,68,32,0,13,88,0,43,5284,2459,150,10,194,132,0,53,233,237,496,343,328,201,82,2825,192,44,218,73,41,75,204,165,716,428,291,256,122,5Y10,101,Seattle,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City"
108,53033010200,"Census Tract 102, King County, Washington",4786,219,100,0,0,0,0,19,0,0,18,0,10,53,0,0,119,0,0,0,0,0,38,4,0,10,33,0,17,17,4567,2205,229,23,211,61,0,13,137,176,394,398,291,126,146,2362,140,21,108,87,12,65,55,364,424,496,298,104,188,5Y10,102,Seattle,4.3,4,Seward Park,"Seward Park, Hillman City"
109,53033010300,"Census Tract 103, King County, Washington",5933,1198,616,41,34,25,37,0,0,0,56,166,135,58,0,64,582,83,13,123,0,0,0,55,128,19,45,45,13,58,4735,2274,147,22,72,124,0,48,207,355,538,261,225,174,101,2461,197,27,175,82,10,0,195,451,487,349,275,100,113,5Y10,103,Seattle,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City"
110,53033010401,"Census Tract 104.01, King County, Washington",4495,335,74,0,0,0,9,10,0,0,12,20,23,0,0,0,261,0,25,35,31,16,10,0,76,0,50,0,0,18,4160,1996,146,3,70,11,92,68,130,353,333,265,234,138,153,2164,173,116,74,62,10,34,159,353,375,290,140,198,180,5Y10,104.01,Seattle,3.5,3,Beacon Hill,Beacon Hill
111,53033010402,"Census Tract 104.02, King County, Washington",4454,241,51,0,0,10,0,0,0,0,0,10,7,14,0,10,190,0,0,39,0,0,34,0,45,0,43,11,18,0,4213,2155,165,0,145,40,16,59,197,404,281,273,292,151,132,2058,81,0,121,95,78,93,33,338,258,313,235,187,226,5Y10,104.02,Seattle,3.5,3,Beacon Hill,Beacon Hill
112,53033010500,"Census Tract 105, King County, Washington",5899,494,273,0,0,0,0,0,34,53,54,29,78,12,0,13,221,0,0,0,0,0,0,70,15,10,0,81,17,28,5405,2534,157,0,40,25,29,14,114,564,636,400,291,119,145,2871,286,45,82,54,15,49,150,603,468,244,517,112,246,5Y10,105,Seattle,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral"
113,53033010600,"Census Tract 106, King County, Washington",7073,468,139,56,0,0,0,0,0,0,0,17,49,17,0,0,329,0,0,0,0,0,0,29,93,63,30,53,43,18,6605,2989,128,14,143,137,71,39,46,609,586,602,313,118,183,3616,222,75,210,108,16,0,106,672,709,536,422,218,322,5Y10,106,Seattle,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park"
114,53033010701,"Census Tract 107.01, King County, Washington",2622,491,188,27,0,18,0,0,11,15,34,69,14,0,0,0,303,0,0,28,0,0,64,28,0,70,52,15,46,0,2131,1158,107,30,77,44,0,74,95,154,203,179,140,55,0,973,36,0,63,14,0,0,99,252,258,117,83,41,10,5Y10,107.01,Seattle,2.2,2,High Point,"High Point, Delridge"
115,53033010702,"Census Tract 107.02, King County, Washington",2597,1038,411,28,0,50,123,23,0,59,77,26,13,0,0,12,627,74,28,101,0,42,37,21,83,66,47,39,75,14,1559,769,22,0,32,0,22,0,71,321,142,120,24,0,15,790,55,0,42,33,11,36,56,166,143,130,57,11,50,5Y10,107.02,Seattle,2.2,2,High Point,"High Point, Delridge"
116,53033010800,"Census Tract 108, King County, Washington",4678,251,135,0,0,20,0,0,0,20,0,40,43,12,0,0,116,0,0,0,0,7,0,4,26,61,18,0,0,0,4427,2376,187,0,172,148,25,20,185,503,425,318,244,101,48,2051,120,0,152,94,68,29,128,315,360,379,275,59,72,5Y10,108,Seattle,2.3,2,Riverview,"Riverview, Delridge"
117,53033010900,"Census Tract 109, King County, Washington",1339,187,97,4,15,0,0,0,0,0,48,15,15,0,0,0,90,12,0,0,0,0,0,22,43,10,0,3,0,0,1152,696,91,0,6,0,0,0,33,168,160,124,65,49,0,456,0,45,6,0,0,0,21,204,16,56,46,24,38,5Y10,109,Seattle,3.2,3,Georgetown,Georgetown
118,53033011001,"Census Tract 110.01, King County, Washington",4148,1431,577,37,0,74,42,33,14,56,134,0,41,44,74,28,854,61,19,184,45,41,32,23,86,111,102,55,85,10,2717,1171,89,0,58,43,121,64,126,107,210,105,153,69,26,1546,80,0,93,13,31,0,250,172,260,238,77,144,188,5Y10,110.01,Seattle,3.4,3,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park"
119,53033011002,"Census Tract 110.02, King County, Washington",3722,435,269,57,8,8,34,0,0,81,0,26,42,0,13,0,166,0,0,12,44,0,0,0,20,65,0,14,11,0,3287,1554,59,9,73,35,34,34,494,144,131,135,267,97,42,1733,95,8,86,96,11,12,19,279,224,339,412,54,98,5Y10,110.02,Seattle,3.4,3,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park"
120,53033011101,"Census Tract 111.01, King County, Washington",4097,883,341,39,0,54,0,22,0,34,42,41,21,31,47,10,542,38,30,30,92,33,0,44,47,0,85,63,43,37,3214,1567,68,38,59,100,0,51,118,290,283,221,142,127,70,1647,150,38,37,20,0,20,130,345,241,171,183,160,152,5Y10,111.01,Seattle,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City"
121,53033011102,"Census Tract 111.02, King County, Washington",3695,652,417,0,0,0,31,32,10,103,35,12,115,12,38,29,235,0,0,0,0,0,0,54,12,37,30,54,0,48,3043,1602,111,9,54,60,10,11,243,205,249,277,236,69,68,1441,96,7,149,30,12,50,57,152,244,219,245,101,79,5Y10,111.02,Seattle,4.3,4,Seward Park,"Seward Park, Hillman City"
122,53033011200,"Census Tract 112, King County, Washington",3978,641,398,14,0,26,4,0,13,9,92,81,121,18,20,0,243,0,0,47,0,0,19,49,14,30,28,56,0,0,3337,1877,132,38,146,50,0,19,166,368,410,256,153,117,22,1460,119,41,84,38,58,52,140,266,303,167,111,15,66,5Y10,112,Seattle,3.1,3,South Park,South Park
123,53033011300,"Census Tract 113, King County, Washington",5527,407,220,0,14,14,0,0,26,69,19,0,23,55,0,0,187,0,0,0,0,0,0,16,28,0,49,45,0,49,5120,2697,175,17,157,69,48,95,208,503,412,458,267,229,59,2423,239,0,59,52,23,51,180,547,406,295,306,229,36,5Y10,113,Seattle,2.5,2,Highland Park,"Highland Park, Westwood, White Center, South Delridge"
124,53033011401,"Census Tract 114.01, King County, Washington",3915,261,162,20,0,10,18,0,0,37,0,51,12,14,0,0,99,0,0,0,0,0,0,36,20,0,27,0,16,0,3654,1682,122,49,12,0,10,12,113,476,380,230,131,84,63,1972,122,46,91,87,0,41,165,528,390,221,147,73,61,5Y10,114.01,Seattle,2.4,2,Roxhill/Westwood,"Roxhill, Westwood, South Delridge, White Center"
125,53033011402,"Census Tract 114.02, King County, Washington",4193,802,468,137,0,63,11,30,0,34,95,0,45,34,10,9,334,36,0,32,33,0,22,78,30,61,26,16,0,0,3391,1802,158,35,97,48,0,92,206,288,338,335,110,39,56,1589,110,12,53,38,0,139,64,329,298,241,55,114,136,5Y10,114.02,Seattle,2.4,2,Roxhill/Westwood,"Roxhill, Westwood, South Delridge, White Center"
126,53033011500,"Census Tract 115, King County, Washington",4152,118,27,0,0,0,0,0,0,0,0,12,0,0,0,15,91,0,0,0,0,0,0,15,0,21,0,55,0,0,4034,1907,130,23,122,7,9,94,49,497,361,212,265,28,110,2127,98,6,77,68,0,12,162,366,450,453,200,124,111,5Y10,115,Seattle,2.4,2,Roxhill/Westwood,"Roxhill, Westwood, South Delridge, White Center"
127,53033011600,"Census Tract 116, King County, Washington",6092,393,158,11,0,0,0,0,0,0,61,28,0,43,0,15,235,0,0,23,12,11,0,67,0,11,39,57,15,0,5699,2776,206,42,73,32,23,72,62,309,566,674,402,195,120,2923,199,12,173,25,8,85,182,393,486,589,285,269,217,5Y10,116,Seattle,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park"
128,53033011700,"Census Tract 117, King County, Washington",6708,1469,580,128,28,61,45,0,29,97,0,49,29,54,19,41,889,87,30,173,114,45,48,94,69,32,66,93,0,38,5239,2527,159,51,231,48,101,92,344,333,319,362,294,119,74,2712,157,35,216,110,21,57,209,353,397,433,253,188,283,5Y10,117,Seattle,3.4,3,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park"
129,53033011800,"Census Tract 118, King County, Washington",7588,1879,841,200,31,142,0,30,73,107,0,147,49,34,18,10,1038,170,0,94,85,50,54,74,136,249,59,27,33,7,5709,3095,144,56,276,255,15,122,265,302,325,675,321,242,97,2614,86,0,84,207,114,73,289,255,357,482,308,141,218,5Y10,118,Seattle,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap"
130,53033011900,"Census Tract 119, King County, Washington",7563,1117,663,33,21,93,34,35,53,97,55,34,146,33,11,18,454,73,0,74,40,0,18,0,37,52,65,39,41,15,6446,3358,259,46,241,100,55,121,300,439,457,444,458,257,181,3088,259,30,286,49,0,0,261,398,512,508,352,277,156,5Y10,119,Seattle,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap"
131,53033012000,"Census Tract 120, King County, Washington",3632,278,101,0,0,0,12,0,0,52,29,0,0,8,0,0,177,49,0,0,12,0,0,19,17,11,0,69,0,0,3354,1691,147,28,81,102,14,0,63,303,447,255,144,84,23,1663,130,28,141,8,26,51,119,184,395,317,118,84,62,5Y10,120,Seattle,1.1,1,Arbor Heights,"Arbor Heights, Brace Point, Endolyne, Arroyo"
132,53033012100,"Census Tract 121, King County, Washington",2556,63,47,0,0,0,0,0,0,7,0,0,12,20,0,8,16,0,0,0,0,0,0,0,0,0,0,0,8,8,2493,1178,28,29,88,39,0,15,43,53,234,265,166,98,120,1315,42,0,88,20,13,11,35,101,227,228,278,137,135,5Y10,121,Seattle,1.1,1,Arbor Heights,"Arbor Heights, Brace Point, Endolyne, Arroyo"
133,53033026001,"Census Tract 260.01, King County, Washington",5008,151,11,0,0,0,0,0,0,0,0,0,11,0,0,0,140,0,0,47,0,0,0,36,0,47,0,0,0,10,4857,2431,270,37,69,128,34,42,196,278,276,322,438,198,143,2426,123,19,110,0,0,82,175,327,203,422,506,185,274,5Y10,260.01,King County Balance,,,,
134,53033026400,"Census Tract 264, King County, Washington",6811,2631,1431,124,0,128,93,17,130,393,355,19,157,3,12,0,1200,184,0,211,49,0,0,0,241,148,286,54,12,15,4180,2123,263,0,145,37,10,30,56,260,370,342,249,254,107,2057,88,0,141,36,17,15,81,394,496,313,238,141,97,5Y10,264,King County Balance,,,,
135,53033026500,"Census Tract 265, King County, Washington",2905,658,356,95,13,7,12,0,34,58,46,9,18,51,13,0,302,16,0,40,2,7,9,87,72,26,12,31,0,0,2247,1173,41,5,59,34,14,23,106,121,176,149,299,78,68,1074,58,14,65,47,36,0,82,111,145,157,140,151,68,5Y10,265,King County Balance,,,,
