OBJECTID,GEOID,NAME,B17001_001E,B17001_002E,B17001_003E,B17001_004E,B17001_005E,B17001_006E,B17001_007E,B17001_008E,B17001_009E,B17001_010E,B17001_011E,B17001_012E,B17001_013E,B17001_014E,B17001_015E,B17001_016E,B17001_017E,B17001_018E,B17001_019E,B17001_020E,B17001_021E,B17001_022E,B17001_023E,B17001_024E,B17001_025E,B17001_026E,B17001_027E,B17001_028E,B17001_029E,B17001_030E,B17001_031E,B17001_032E,B17001_033E,B17001_034E,B17001_035E,B17001_036E,B17001_037E,B17001_038E,B17001_039E,B17001_040E,B17001_041E,B17001_042E,B17001_043E,B17001_044E,B17001_045E,B17001_046E,B17001_047E,B17001_048E,B17001_049E,B17001_050E,B17001_051E,B17001_052E,B17001_053E,B17001_054E,B17001_055E,B17001_056E,B17001_057E,B17001_058E,B17001_059E,ACS_VINTAGE,TRACT_LABEL,JURISDICTION,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES
11,53033001000,"Census Tract 10, King County, Washington",1702,228,109,9,0,13,12,0,6,31,25,0,13,0,0,0,119,0,0,13,0,0,12,54,22,0,9,0,0,9,1474,636,45,26,51,35,0,6,19,97,131,65,112,49,0,838,115,0,68,22,0,12,53,137,141,42,186,34,28,5Y10,10,Seattle,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach"
12,53033001100,"Census Tract 11, King County, Washington",2573,189,91,0,0,0,0,0,0,13,0,37,0,26,0,15,98,0,0,0,9,0,0,29,10,0,36,14,0,0,2384,1285,99,0,52,43,9,18,117,212,266,165,175,81,48,1099,27,22,59,1,0,45,145,161,179,135,231,25,69,5Y10,11,Seattle,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park"
13,53033001200,"Census Tract 12, King County, Washington",5753,832,398,48,0,16,16,0,0,81,88,47,14,29,10,49,434,19,0,16,0,0,0,84,47,97,41,62,35,33,4921,2409,60,22,61,10,0,21,303,693,313,334,265,113,214,2512,61,31,159,75,25,10,335,509,215,169,369,128,426,5Y10,12,Seattle,8.1,8,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst"
14,53033001300,"Census Tract 13, King County, Washington",4230,974,467,0,0,0,0,17,17,140,0,67,93,21,112,0,507,42,0,34,0,0,28,137,73,53,43,34,48,15,3256,1578,126,0,28,23,23,0,115,664,208,168,148,65,10,1678,153,0,32,17,0,0,75,698,150,127,231,123,72,5Y10,13,Seattle,9.2,9,Licton Springs,Licton Springs
15,53033001400,"Census Tract 14, King County, Washington",4754,474,310,0,0,14,54,0,15,32,30,65,68,32,0,0,164,0,0,39,0,0,15,35,9,0,15,32,19,0,4280,2108,52,13,198,63,36,28,125,490,208,346,314,123,112,2172,78,27,99,0,27,58,79,563,302,389,295,176,79,5Y10,14,Seattle,10.1,10,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge"
16,53033001500,"Census Tract 15, King County, Washington",2463,109,45,11,12,0,0,0,0,9,13,0,0,0,0,0,64,12,0,0,0,0,0,0,28,12,0,12,0,0,2354,1133,63,16,40,49,0,13,21,145,174,310,200,58,44,1221,62,0,99,18,10,56,37,108,220,252,205,84,70,5Y10,15,Seattle,10.1,10,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge"
17,53033001600,"Census Tract 16, King County, Washington",4271,346,186,44,0,8,11,45,19,0,24,9,0,26,0,0,160,0,0,16,7,0,24,16,0,9,88,0,0,0,3925,1810,88,0,92,104,9,50,54,141,307,342,339,109,175,2115,82,27,109,75,14,31,174,166,323,425,300,132,257,5Y10,16,Seattle,10.1,10,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge"
18,53033001701,"Census Tract 17.01, King County, Washington",3615,543,229,42,44,0,44,0,0,0,35,21,14,12,0,17,314,0,0,45,0,0,0,101,73,41,41,13,0,0,3072,1620,72,13,16,67,22,7,85,575,377,205,131,26,24,1452,92,18,24,15,0,15,77,514,219,168,191,55,64,5Y10,17.01,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill"
19,53033001702,"Census Tract 17.02, King County, Washington",4293,501,235,0,0,14,0,0,0,14,61,48,32,53,13,0,266,16,0,0,0,0,0,70,15,14,0,43,30,78,3792,1999,56,33,204,41,0,15,109,412,405,354,235,56,79,1793,181,0,24,25,41,24,131,317,384,283,246,71,66,5Y10,17.02,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill"
20,53033001800,"Census Tract 18, King County, Washington",4204,467,159,23,0,0,0,0,0,31,29,33,30,0,13,0,308,0,0,0,0,0,0,120,72,31,71,0,14,0,3737,1856,136,22,93,0,0,0,245,783,292,147,91,15,32,1881,151,0,18,0,0,0,245,768,351,197,59,48,44,5Y10,18,Seattle,9.2,9,Licton Springs,Licton Springs
21,53033001900,"Census Tract 19, King County, Washington",3622,304,121,0,0,9,8,0,0,0,22,19,11,52,0,0,183,9,10,8,0,0,0,43,49,17,26,0,0,21,3318,1655,126,8,47,20,8,21,138,478,310,249,145,59,46,1663,87,54,53,35,0,41,150,383,234,258,156,91,121,5Y10,19,Seattle,8.1,8,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst"
22,53033002000,"Census Tract 20, King County, Washington",3403,365,252,6,0,0,0,9,0,67,55,35,20,60,0,0,113,0,0,0,0,0,9,41,0,30,20,13,0,0,3038,1543,109,24,82,51,0,17,154,276,371,221,127,27,84,1495,76,27,37,39,6,23,107,276,324,231,86,120,143,5Y10,20,Seattle,8.1,8,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst"
23,53033002100,"Census Tract 21, King County, Washington",3482,302,110,0,0,0,10,0,0,24,12,0,18,32,14,0,192,0,0,14,14,15,21,41,0,14,26,29,0,18,3180,1537,64,7,123,40,21,11,69,231,315,354,145,64,93,1643,98,44,33,51,19,59,98,235,299,303,194,87,123,5Y10,21,Seattle,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach"
24,53033002200,"Census Tract 22, King County, Washington",5321,207,123,50,0,0,0,0,0,17,8,0,0,48,0,0,84,26,0,0,0,0,0,8,26,0,16,8,0,0,5114,2622,69,34,216,129,78,25,111,297,342,388,494,263,176,2492,49,47,274,72,48,37,107,263,294,464,386,169,282,5Y10,22,Seattle,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach"
25,53033002400,"Census Tract 24, King County, Washington",2859,193,105,0,0,20,0,0,0,44,30,0,11,0,0,0,88,0,0,10,0,11,10,10,12,0,11,24,0,0,2666,1362,88,18,112,72,23,0,50,243,245,156,207,71,77,1304,66,20,126,35,35,30,18,166,309,155,180,66,98,5Y10,24,Seattle,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach"
26,53033002500,"Census Tract 25, King County, Washington",2957,140,30,6,0,0,0,0,0,0,13,0,11,0,0,0,110,0,0,0,0,0,0,22,29,27,24,0,8,0,2817,1353,94,20,65,24,0,36,190,323,186,173,163,33,46,1464,97,12,70,51,0,33,93,336,151,169,251,113,88,5Y10,25,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District"
27,53033002600,"Census Tract 26, King County, Washington",4456,219,34,0,0,0,0,0,0,12,10,0,0,0,12,0,185,0,0,9,0,9,0,71,59,0,12,13,12,0,4237,2044,141,65,96,52,11,63,120,287,491,330,227,105,56,2193,162,8,144,53,18,53,116,393,408,319,310,95,114,5Y10,26,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District"
28,53033002700,"Census Tract 27, King County, Washington",4877,207,108,0,0,0,0,0,0,17,23,20,16,32,0,0,99,0,0,0,0,0,0,68,0,0,14,17,0,0,4670,2458,95,37,131,54,50,12,161,736,367,335,261,157,62,2212,190,21,27,42,26,0,177,602,405,291,279,105,47,5Y10,27,Seattle,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park"
29,53033002800,"Census Tract 28, King County, Washington",4008,259,140,0,0,22,0,0,0,9,33,12,11,24,29,0,119,0,0,0,0,0,0,16,25,11,36,31,0,0,3749,1626,90,49,86,26,0,0,26,430,392,243,193,46,45,2123,161,11,187,26,0,14,86,531,391,286,293,25,112,5Y10,28,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill"
30,53033002900,"Census Tract 29, King County, Washington",4117,194,90,0,0,0,0,10,0,0,14,0,31,23,0,12,104,0,0,0,0,0,0,37,10,22,10,0,12,13,3923,1948,166,10,54,70,0,13,86,307,568,340,234,34,66,1975,178,9,137,19,25,31,72,362,441,335,250,26,90,5Y10,29,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill"
31,53033003000,"Census Tract 30, King County, Washington",5578,142,22,0,0,0,0,0,12,10,0,0,0,0,0,0,120,0,0,0,0,13,10,0,20,21,21,0,0,35,5436,2652,231,39,200,36,48,18,146,456,674,398,287,90,29,2784,167,76,168,58,14,29,163,361,701,518,281,130,118,5Y10,30,Seattle,10.2,10,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill"
32,53033003100,"Census Tract 31, King County, Washington",6159,344,172,9,0,0,0,0,0,26,94,12,31,0,0,0,172,10,0,0,0,0,0,12,68,0,23,30,15,14,5815,2934,267,21,205,138,26,45,128,198,641,500,459,172,134,2881,182,9,137,99,38,130,58,395,585,482,430,146,190,5Y10,31,Seattle,10.3,10,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole"
33,53033003200,"Census Tract 32, King County, Washington",7178,477,161,0,0,0,0,0,0,0,58,0,16,30,34,23,316,0,0,13,0,0,0,0,150,0,12,31,41,69,6701,3346,201,44,80,38,36,77,150,774,672,516,342,196,220,3355,221,13,124,63,14,55,90,705,660,611,411,213,175,5Y10,32,Seattle,10.3,10,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole"
34,53033003300,"Census Tract 33, King County, Washington",6066,655,277,35,0,27,0,0,0,11,120,53,0,13,18,0,378,86,0,0,0,27,0,49,74,105,0,37,0,0,5411,2448,124,27,155,31,0,28,66,675,447,485,306,23,81,2963,179,42,86,25,16,49,290,813,528,375,360,61,139,5Y10,33,Seattle,10.2,10,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill"
35,53033003400,"Census Tract 34, King County, Washington",3334,87,36,0,0,0,0,0,0,0,14,12,0,0,0,10,51,0,0,0,0,0,0,8,9,0,12,0,12,10,3247,1594,114,9,99,61,26,37,26,340,330,277,200,10,65,1653,78,19,109,75,0,31,103,303,343,258,240,9,85,5Y10,34,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill"
36,53033003500,"Census Tract 35, King County, Washington",3906,202,116,0,0,0,0,0,0,0,71,0,0,36,0,9,86,0,0,0,0,0,0,0,43,0,0,22,0,21,3704,1727,76,17,67,39,24,12,78,375,364,287,160,105,123,1977,100,29,213,34,13,24,85,348,377,343,232,79,100,5Y10,35,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill"
37,53033003600,"Census Tract 36, King County, Washington",5080,423,222,0,0,0,0,0,0,71,71,0,0,67,13,0,201,0,0,0,0,0,0,70,18,11,26,17,28,31,4657,2308,57,41,24,69,0,19,140,666,476,305,269,120,122,2349,148,0,84,13,22,0,185,674,469,144,297,7,306,5Y10,36,Seattle,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park"
38,53033003800,"Census Tract 38, King County, Washington",1941,37,15,0,0,0,0,0,0,0,0,15,0,0,0,0,22,0,0,0,0,0,0,17,0,5,0,0,0,0,1904,864,83,10,51,12,11,5,17,124,172,174,131,22,52,1040,38,21,151,6,0,13,43,99,237,164,146,75,47,5Y10,38,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District"
39,53033003900,"Census Tract 39, King County, Washington",2852,181,118,0,0,0,0,0,0,42,13,25,38,0,0,0,63,0,0,0,0,0,0,35,15,0,0,0,0,13,2671,1329,112,33,156,58,0,0,111,149,221,138,173,84,94,1342,141,5,102,30,12,38,99,81,271,143,212,54,154,5Y10,39,Seattle,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach"
40,53033004000,"Census Tract 40, King County, Washington",2815,561,350,0,0,0,0,0,0,62,22,60,109,78,19,0,211,0,0,0,0,0,0,28,60,18,84,0,21,0,2254,886,12,4,76,26,8,43,71,111,153,167,107,39,69,1368,151,0,61,62,0,12,43,237,154,228,112,133,175,5Y10,40,Seattle,7.5,7,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park"
41,53033004100,"Census Tract 41, King County, Washington",7992,592,237,0,0,0,0,0,0,169,29,0,14,25,0,0,355,33,0,14,0,0,0,215,30,0,13,0,38,12,7400,3517,258,81,299,171,35,99,219,370,565,493,531,177,219,3883,253,65,259,148,112,118,320,401,615,592,528,206,266,5Y10,41,Seattle,7.5,7,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park"
42,53033004200,"Census Tract 42, King County, Washington",7887,663,158,27,0,15,0,0,0,45,54,0,0,17,0,0,505,0,14,30,0,0,0,258,42,22,0,15,43,81,7224,3531,191,30,404,35,34,52,190,624,636,628,391,102,214,3693,282,101,138,100,26,36,353,460,582,646,476,185,308,5Y10,42,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District"
43,53033004301,"Census Tract 43.01, King County, Washington",3845,794,366,15,0,0,0,0,14,270,67,0,0,0,0,0,428,15,0,0,0,0,8,261,41,0,23,0,67,13,3051,1519,172,23,44,52,17,13,253,321,146,214,157,0,107,1532,90,49,71,13,0,8,219,240,246,223,189,15,169,5Y10,43.01,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District"
44,53033004302,"Census Tract 43.02, King County, Washington",2051,1159,699,0,0,0,0,30,0,607,32,16,0,0,0,14,460,0,0,15,0,0,15,362,22,0,0,11,35,0,892,387,0,0,0,0,0,0,195,80,54,13,13,19,13,505,17,0,0,0,0,0,177,168,36,21,12,45,29,5Y10,43.02,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District"
45,53033004400,"Census Tract 44, King County, Washington",6296,2200,1122,0,0,0,0,0,0,1002,68,0,37,15,0,0,1078,0,0,0,0,0,0,1020,33,0,0,10,15,0,4096,2528,192,0,123,49,0,40,741,584,294,249,130,76,50,1568,67,0,17,0,0,17,341,367,305,156,192,68,38,5Y10,44,Seattle,7.2,7,University District,"University District, Cowen Park, Ravenna"
46,53033004500,"Census Tract 45, King County, Washington",2750,482,343,0,0,0,0,0,0,280,41,0,13,9,0,0,139,0,0,0,6,6,0,15,72,32,8,0,0,0,2268,1148,44,31,27,14,0,9,70,400,283,130,97,25,18,1120,62,16,59,13,0,0,118,433,122,110,134,33,20,5Y10,45,Seattle,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District"
47,53033004600,"Census Tract 46, King County, Washington",3079,197,102,0,0,0,0,0,14,11,32,0,35,10,0,0,95,0,0,0,0,0,0,16,10,11,43,15,0,0,2882,1401,65,29,88,28,15,44,97,283,269,179,202,50,52,1481,75,0,82,44,0,0,150,282,280,227,235,65,41,5Y10,46,Seattle,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park"
48,53033004700,"Census Tract 47, King County, Washington",5744,538,274,14,0,0,0,0,0,89,65,14,31,14,47,0,264,0,0,0,0,0,0,40,81,0,34,26,32,51,5206,2824,40,0,77,17,0,41,201,1082,562,449,212,43,100,2382,22,36,45,13,6,70,265,642,414,284,286,196,103,5Y10,47,Seattle,10.4,10,Ballard,"Ballard, West Woodland, Adams"
49,53033004800,"Census Tract 48, King County, Washington",4597,294,89,0,0,0,0,0,0,16,12,14,21,26,0,0,205,12,65,13,12,0,0,8,41,54,0,0,0,0,4303,2095,38,61,76,31,21,8,149,591,490,343,145,73,69,2208,112,0,175,107,19,0,130,487,436,370,200,34,138,5Y10,48,Seattle,11.1,11,Fremont,"Fremont, Wallingford, Northlake"
50,53033004900,"Census Tract 49, King County, Washington",5736,455,235,0,0,0,0,0,0,37,112,69,0,17,0,0,220,15,0,0,0,0,0,58,51,32,24,40,0,0,5281,2710,56,0,57,24,0,16,169,1056,566,400,235,99,32,2571,37,14,43,81,28,0,350,1042,363,273,188,84,68,5Y10,49,Seattle,11.1,11,Fremont,"Fremont, Wallingford, Northlake"
51,53033005000,"Census Tract 50, King County, Washington",4313,1225,785,43,0,0,0,0,0,122,118,96,216,190,0,0,440,0,0,44,0,0,0,88,60,44,0,191,0,13,3088,1667,60,29,65,0,0,0,194,553,265,193,192,70,46,1421,46,26,77,48,0,13,156,438,189,139,111,17,161,5Y10,50,Seattle,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District"
52,53033005100,"Census Tract 51, King County, Washington",3437,176,119,0,0,0,12,0,0,0,27,39,33,8,0,0,57,0,0,13,0,0,0,0,10,9,25,0,0,0,3261,1666,194,9,104,34,0,0,73,371,395,257,119,98,12,1595,45,22,53,52,12,31,82,382,341,212,213,63,87,5Y10,51,Seattle,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District"
53,53033005200,"Census Tract 52, King County, Washington",6347,2287,1168,0,0,0,0,0,0,1057,67,0,12,32,0,0,1119,0,0,0,0,0,0,1035,9,55,0,0,20,0,4060,1995,93,16,87,0,0,0,494,612,249,136,164,109,35,2065,183,21,44,0,0,0,516,787,168,114,138,36,58,5Y10,52,Seattle,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District"
54,53033005301,"Census Tract 53.01, King County, Washington",4733,2440,1180,6,0,6,0,0,0,801,167,74,48,0,49,29,1260,0,0,0,0,0,0,1038,140,28,27,13,0,14,2293,1609,16,5,0,28,0,0,540,357,117,258,181,35,72,684,0,0,0,0,0,0,252,229,145,58,0,0,0,5Y10,53.01,Seattle,7.2,7,University District,"University District, Cowen Park, Ravenna"
55,53033005302,"Census Tract 53.02, King County, Washington",181,153,88,0,0,0,0,0,0,46,10,10,0,22,0,0,65,0,0,0,0,0,0,55,10,0,0,0,0,0,28,19,0,0,0,0,0,0,0,0,0,0,10,0,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0,5Y10,53.02,Seattle,7.2,7,University District,"University District, Cowen Park, Ravenna"
56,53033005400,"Census Tract 54, King County, Washington",4238,450,148,0,0,15,0,0,0,48,47,0,38,0,0,0,302,0,0,16,0,0,0,171,50,27,16,22,0,0,3788,1941,93,28,40,20,0,38,128,749,491,222,82,29,21,1847,40,0,76,0,35,30,137,744,273,308,134,46,24,5Y10,54,Seattle,11.1,11,Fremont,"Fremont, Wallingford, Northlake"
57,53033005600,"Census Tract 56, King County, Washington",6391,157,44,0,0,30,0,0,0,0,0,0,0,14,0,0,113,0,0,15,0,0,0,0,31,15,0,34,0,18,6234,2979,85,88,181,103,81,76,118,166,380,669,537,370,125,3255,261,115,227,183,34,38,56,194,534,568,614,176,255,5Y10,56,Seattle,12.1,12,Magnolia,"Magnolia, Discovery Park, Briarcliff, Lawton Park"
58,53033005700,"Census Tract 57, King County, Washington",6388,489,352,32,0,0,0,0,0,251,14,0,44,0,0,11,137,17,0,0,0,0,0,38,42,0,0,0,0,40,5899,3042,168,43,270,160,16,78,132,415,548,645,275,148,144,2857,160,60,184,40,0,99,117,324,562,523,378,147,263,5Y10,57,Seattle,12.1,12,Magnolia,"Magnolia, Discovery Park, Briarcliff, Lawton Park"
59,53033005801,"Census Tract 58.01, King County, Washington",4946,147,45,0,0,9,0,0,0,0,0,3,21,12,0,0,102,0,0,0,8,0,0,70,0,0,24,0,0,0,4799,2245,58,26,87,27,19,13,263,577,470,333,216,75,81,2554,105,78,101,17,13,63,111,686,530,309,280,147,114,5Y10,58.01,Seattle,12.2,12,Interbay,Interbay
60,53033005802,"Census Tract 58.02, King County, Washington",4411,307,96,14,0,0,0,0,0,19,27,12,11,13,0,0,211,15,0,0,0,0,0,66,44,13,11,20,0,42,4104,2000,11,10,24,46,0,68,103,474,574,323,180,66,121,2104,103,10,105,53,13,25,103,436,426,319,205,120,186,5Y10,58.02,Seattle,12.2,12,Interbay,Interbay
61,53033005900,"Census Tract 59, King County, Washington",5669,553,340,0,0,0,0,0,0,269,0,26,14,31,0,0,213,0,0,0,0,0,0,100,19,14,37,13,0,30,5116,2499,129,38,169,0,7,20,187,581,450,450,288,117,63,2617,228,24,132,56,24,0,184,576,334,354,387,147,171,5Y10,59,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake"
62,53033006000,"Census Tract 60, King County, Washington",4578,382,146,0,0,6,6,0,0,54,0,0,33,9,19,19,236,0,0,0,0,0,0,61,24,0,21,59,19,52,4196,2123,148,31,102,0,15,32,87,301,601,211,297,161,137,2073,232,12,40,0,22,0,90,447,366,252,357,112,143,5Y10,60,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake"
63,53033006100,"Census Tract 61, King County, Washington",4766,454,212,0,0,0,0,0,0,104,74,15,19,0,0,0,242,0,0,0,30,0,0,101,82,0,0,29,0,0,4312,2064,26,12,59,17,0,29,76,596,497,285,226,130,111,2248,45,0,0,36,0,0,293,748,205,319,328,193,81,5Y10,61,Seattle,7.1,7,Montlake/Portage Bay,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park"
64,53033006200,"Census Tract 62, King County, Washington",4195,300,150,0,0,12,0,0,0,72,22,32,12,0,0,0,150,17,0,12,0,0,0,44,77,0,0,0,0,0,3895,1920,152,64,93,101,16,10,139,195,330,309,330,120,61,1975,129,35,162,18,0,40,87,296,297,358,284,181,88,5Y10,62,Seattle,7.1,7,Montlake/Portage Bay,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park"
65,53033006300,"Census Tract 63, King County, Washington",5190,252,64,0,0,0,0,0,0,0,0,18,17,29,0,0,188,0,0,0,0,0,0,82,40,0,48,13,0,5,4938,2078,106,19,218,45,10,53,4,284,336,271,377,126,229,2860,112,17,190,102,0,56,156,371,488,309,441,170,448,5Y10,63,Seattle,6.5,6,Madison Park,"Madison Park, Broadmoor, Washington Park, Harrison/Denny-Blaine"
66,53033006400,"Census Tract 64, King County, Washington",3322,193,101,0,0,0,0,0,0,14,13,28,14,11,0,21,92,0,0,0,0,0,0,26,13,23,0,21,9,0,3129,1674,93,21,64,63,75,35,92,203,319,287,264,87,71,1455,133,30,111,33,0,59,52,144,246,252,244,115,36,5Y10,64,Seattle,6.4,6,Miller Park,"Madison-Miller, Miller Park, Capitol Hill, Stevens"
67,53033006500,"Census Tract 65, King County, Washington",3798,288,149,0,0,0,0,0,0,37,80,0,0,11,21,0,139,0,0,0,0,0,0,39,50,0,14,14,22,0,3510,1909,11,0,73,36,0,0,155,482,482,356,193,78,43,1601,63,16,94,16,12,0,49,434,284,216,252,136,29,5Y10,65,Seattle,6.3,6,North Capitol Hill,"North Capitol Hill, Capitol Hill, North Broadway"
68,53033006600,"Census Tract 66, King County, Washington",3070,355,197,0,0,0,0,0,0,83,114,0,0,0,0,0,158,0,0,0,0,0,11,14,85,0,25,23,0,0,2715,1247,0,0,7,0,0,11,39,660,190,113,108,103,16,1468,0,30,19,11,13,0,140,688,183,81,151,78,74,5Y10,66,Seattle,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle"
69,53033006700,"Census Tract 67, King County, Washington",6328,595,266,0,0,0,0,0,0,12,34,96,53,50,0,21,329,0,0,0,0,0,0,134,89,20,19,14,19,34,5733,2797,164,38,45,0,0,26,132,949,707,279,302,66,89,2936,114,0,46,0,0,25,152,1175,550,259,218,173,224,5Y10,67,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake"
70,53033006800,"Census Tract 68, King County, Washington",2652,96,49,0,0,2,0,0,0,18,8,0,0,21,0,0,47,0,0,3,0,0,0,0,19,0,12,13,0,0,2556,1331,182,13,77,39,9,0,33,237,320,194,131,71,25,1225,124,0,63,21,15,6,60,328,222,196,89,87,14,5Y10,68,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake"
71,53033006900,"Census Tract 69, King County, Washington",3952,285,63,0,0,0,0,0,0,36,27,0,0,0,0,0,222,0,0,0,0,0,0,87,41,33,30,0,0,31,3667,1947,198,0,198,20,20,31,81,275,397,347,248,68,64,1720,63,34,122,33,0,0,86,350,383,195,311,70,73,5Y10,69,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake"
72,53033007000,"Census Tract 70, King County, Washington",6993,685,293,0,0,0,0,0,0,142,75,33,0,15,15,13,392,32,0,0,0,0,10,66,134,46,36,27,16,25,6308,3100,63,46,46,0,0,0,265,1192,550,446,213,166,113,3208,34,0,43,0,0,48,326,1229,481,273,276,173,325,5Y10,70,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake"
73,53033007100,"Census Tract 71, King County, Washington",2521,265,124,0,0,0,0,0,0,46,0,0,31,22,0,25,141,0,0,0,0,0,0,90,12,0,39,0,0,0,2256,1102,0,5,0,0,0,0,58,530,181,107,119,31,71,1154,5,0,0,0,36,0,110,489,193,138,116,42,25,5Y10,71,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake"
74,53033007200,"Census Tract 72, King County, Washington",3867,735,288,0,0,0,0,0,0,159,45,38,19,17,10,0,447,0,0,0,0,0,0,193,47,37,56,26,50,38,3132,1679,0,0,0,0,0,0,216,651,394,194,161,53,10,1453,0,0,0,0,0,0,206,646,289,142,83,25,62,5Y10,72,Seattle,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle"
75,53033007300,"Census Tract 73, King County, Washington",3463,732,460,0,0,53,0,0,0,9,112,52,75,140,19,0,272,0,0,0,0,0,0,61,64,61,49,32,5,0,2731,1491,64,0,0,0,0,0,145,779,272,42,89,78,22,1240,17,0,0,63,0,0,219,570,129,109,15,66,52,5Y10,73,Seattle,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle"
76,53033007401,"Census Tract 74.01, King County, Washington",3823,378,172,0,0,0,0,0,0,58,13,42,39,20,0,0,206,0,0,0,0,0,0,10,98,83,0,15,0,0,3445,1896,30,31,0,0,0,0,218,873,289,178,161,50,66,1549,0,0,0,0,0,0,216,743,202,99,214,38,37,5Y10,74.01,Seattle,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill"
77,53033007402,"Census Tract 74.02, King County, Washington",5161,936,469,15,0,0,0,0,0,169,62,58,88,77,0,0,467,0,0,0,0,0,0,207,107,45,82,26,0,0,4225,2571,71,0,92,0,0,0,139,1348,456,323,98,29,15,1654,14,0,0,0,0,0,401,719,272,91,103,40,14,5Y10,74.02,Seattle,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill"
